"Story","Title","Result","Date","Stability","Duration (s)"
"Get user information","user information","SUCCESS","2023-05-07T19:51:29.485+07:00[Asia/Bangkok]","0.0","0.67"
"categories Product","create a category","SUCCESS","2023-05-07T19:51:29.402+07:00[Asia/Bangkok]","0.0","0.76"
"categories Product","get category by ID","SUCCESS","2023-05-07T19:51:30.363+07:00[Asia/Bangkok]","0.0","0.12"
"categories Product","get all categories","SUCCESS","2023-05-07T19:51:30.829+07:00[Asia/Bangkok]","0.0","0.09"
"categories Product","delete categories","SUCCESS","2023-05-07T19:51:30.948+07:00[Asia/Bangkok]","0.0","0.04"
"Get hello","get hello","SUCCESS","2023-05-07T19:51:29.39+07:00[Asia/Bangkok]","0.0","0.78"
"Post login","valid login","SUCCESS","2023-05-07T19:51:29.474+07:00[Asia/Bangkok]","0.0","0.69"
"Post login","invalid login","SUCCESS","2023-05-07T19:51:30.399+07:00[Asia/Bangkok]","0.0","0.08"
"Orders","create a new order","SUCCESS","2023-05-07T19:51:29.409+07:00[Asia/Bangkok]","0.0","0.75"
"Orders","get order by ID","SUCCESS","2023-05-07T19:51:30.185+07:00[Asia/Bangkok]","0.0","0.07"
"Orders","get all orders","SUCCESS","2023-05-07T19:51:30.379+07:00[Asia/Bangkok]","0.0","0.1"
"Product","get all products","SUCCESS","2023-05-07T19:51:29.301+07:00[Asia/Bangkok]","0.0","0.87"
"Product","Create a new product","SUCCESS","2023-05-07T19:51:30.284+07:00[Asia/Bangkok]","0.0","0.17"
"Product","get product by ID","SUCCESS","2023-05-07T19:51:30.811+07:00[Asia/Bangkok]","0.0","0.09"
"Product","Delete a product","SUCCESS","2023-05-07T19:51:30.926+07:00[Asia/Bangkok]","0.0","0.06"
"Product","assign a product rating","SUCCESS","2023-05-07T19:51:30.998+07:00[Asia/Bangkok]","0.0","0.06"
"Product","get product ratings","SUCCESS","2023-05-07T19:51:31.066+07:00[Asia/Bangkok]","0.0","0.03"
"Product","create a comment for product","SUCCESS","2023-05-07T19:51:31.101+07:00[Asia/Bangkok]","0.0","0.02"
"Product","get product comments","SUCCESS","2023-05-07T19:51:31.125+07:00[Asia/Bangkok]","0.0","0.03"
"Register Alta Shop","valid data","SUCCESS","2023-05-07T19:51:29.384+07:00[Asia/Bangkok]","0.0","0.77"
"Register Alta Shop","invalid data","SUCCESS","2023-05-07T19:51:30.209+07:00[Asia/Bangkok]","0.0","0.14"
